设备名称：1～32个字符；不能包含 ' / \ : * ? " < > | 等特殊字符。
所属区域：填写目标区域的完整名称路径。例如，选择区域1进行导入，当前这条记录需要导入到区域1下的区域x，那么填写的信息为区域1/区域x；
接入协议：填写时需要用数字编码代替属性值，规则说明：1：海康设备网络SDK协议；2：大华设备网络SDK协议；5：ONVIF协议；7：萤石协议；
设备编码：1～32个字符，为字母、数字的组合；
设备地址：分为4段，每段范围为0～255的整数，参考格式：127.0.0.1；
设备端口：范围为0～65535的整数，默认端口号为8000；
描述：1～128个字符。
*号为必填项。导入主动设备时必须填写设备编码；导入非主动设备时必须填写设备地址、设备账号、设备密码；
使用EXCEL编辑此文件时，请将单元格的格式修改为文本格式，避免数字文本自动转换为科学计数文本。
暂不支持萤石设备的导入

*设备名称,*所属区域路径,*接入协议名称,主动设备编码,设备地址,设备端口,设备账号,登录密码,描述
东区东四路21号厂西南-枪机	,重卡事业部/周界道路	,1	,,10.192.53.65	,8000	,,,
东区东四路21号厂西南-球机	,重卡事业部/周界道路	,1	,,10.192.53.66	,8000	,,,
东区长永路21号厂南-枪机	,重卡事业部/周界道路	,1	,,10.192.53.67	,8000	,,,
东区长永路21号厂南-球机	,重卡事业部/周界道路	,1	,,10.192.53.68	,8000	,,,
东区长永路21号厂东南-枪机	,重卡事业部/周界道路	,1	,,10.192.53.69	,8000	,,,
东区长永路21号厂东南-球机	,重卡事业部/周界道路	,1	,,10.192.53.70	,8000	,,,
东区长永路28号厂西南-枪机	,重卡事业部/周界道路	,1	,,10.192.53.71	,8000	,,,
东区长永路28号厂西南-球机	,重卡事业部/周界道路	,1	,,10.192.53.72	,8000	,,,
东区长永路28号厂南-枪机	,重卡事业部/周界道路	,1	,,10.192.53.73	,8000	,,,
东区长永路28号厂南-球机	,重卡事业部/周界道路	,1	,,10.192.53.74	,8000	,,,
东区长永路28号厂东南-枪机	,重卡事业部/周界道路	,1	,,10.192.53.75	,8000	,,,
东区长永路28号厂东南-球机	,重卡事业部/周界道路	,1	,,10.192.53.76	,8000	,,,
东区东六路东大门-枪机	,重卡事业部/周界道路	,1	,,10.192.53.77	,8000	,,,
东区东六路东大门-球机	,重卡事业部/周界道路	,1	,,10.192.53.78	,8000	,,,	
东区港机调试场-枪机	,重卡事业部/周界道路	,1	,,10.192.53.79	,8000	,,,
东区港机调试场球机	,重卡事业部/周界道路	,1	,,10.192.53.80	,8000	,,,
东区路机堆放坪-枪机	,重卡事业部/周界道路	,1	,,10.192.53.81	,8000	,,,
东区路机堆放坪-球机	,重卡事业部/周界道路	,1	,,10.192.53.82	,8000	,,,
东区25号厂房东南宿舍-枪机	,重卡事业部/周界道路	,1	,,10.192.53.83	,8000	,,,
东区25号厂房东南宿舍-球机	,重卡事业部/周界道路	,1	,,10.192.53.84	,8000	,,,
东区凉塘路25号厂房东北-枪机	,重卡事业部/周界道路	,1	,,10.192.53.85	,8000	,,,
东区凉塘路25号厂房东北-球机	,重卡事业部/周界道路	,1	,,10.192.53.86	,8000	,,,
东区凉塘路25号厂房北-枪机	,重卡事业部/周界道路	,1	,,10.192.53.87	,8000	,,,
东区凉塘路25号厂房北-球机	,重卡事业部/周界道路	,1	,,10.192.53.88	,8000	,,,
东区凉塘路25号厂房东西北-枪机	,重卡事业部/周界道路	,1	,,10.192.53.89	,8000	,,,
东区凉塘路25号厂房东西北-球机	,重卡事业部/周界道路	,1	,,10.192.53.90	,8000	,,,
东区东四路25号厂房西-枪机	,重卡事业部/周界道路	,1	,,10.192.53.91	,8000	,,,
东区东四路25号厂房西-球机	,重卡事业部/周界道路	,1	,,10.192.53.92	,8000	,,,
东区东四路23号厂房西-枪机	,重卡事业部/周界道路	,1	,,10.192.53.93	,8000	,,,
东区东四路23号厂房西-球机	,重卡事业部/周界道路	,1	,,10.192.53.94	,8000	,,,
东区东四路大门-枪机	,重卡事业部/周界道路	,1	,,10.192.53.61	,8000	,,,	
东区东四路大门-球机	,重卡事业部/周界道路	,1	,,10.192.53.62	,8000	,,,	
东区东四路21号厂西-枪机	,重卡事业部/周界道路	,1	,,10.192.53.63	,8000	,,,	
东区东四路21号厂西-球机	,重卡事业部/周界道路	,1	,,10.192.53.64	,8000	,,,	
